",,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals"
"Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF"
"30,Bradley NCAA,35,20,15,.571,0.05,-0.77,9,9,10,6,5,8,2329,2285,,1405,812,1874,.433,240,653,.368,465,672,.692,313,1195,422,186,131,440,617"
"31,Brigham Young,32,19,13,.594,6.29,3.45,11,5,13,3,5,8,2527,2436,,1295,878,1877,.468,226,684,.330,545,750,.727,263,1116,482,203,107,354,626"
"32,Brown,31,20,11,.645,0.07,-3.31,7,7,13,3,7,8,2292,2123,,1250,784,1771,.443,246,720,.342,478,671,.712,257,1132,403,235,119,438,585"
"33,Bryant,30,10,20,.333,-14.94,-7.41,7,11,8,6,2,13,2088,2314,,1200,709,1680,.422,230,708,.325,440,618,.712,285,969,319,158,79,383,575"
"34,Bucknell,33,21,12,.636,0.76,-2.75,13,5,12,3,7,8,2534,2418,,1325,867,1928,.450,311,885,.351,489,653,.749,286,1154,519,173,116,409,627"
"35,Buffalo NCAA,35,32,3,.914,16.13,2.22,16,2,14,0,12,3,2979,2472,,1405,1064,2292,.464,335,995,.337,516,745,.693,439,1437,588,256,139,417,637"
"36,Butler,33,16,17,.485,9.65,8.53,7,11,12,4,2,10,2374,2337,,1330,861,1934,.445,292,827,.353,360,488,.738,288,1058,434,193,62,359,593"
"37,Cal Poly,29,6,23,.207,-13.71,-3.30,2,14,4,8,1,14,1930,2183,,1185,706,1715,.412,225,687,.328,293,452,.648,284,975,301,147,99,334,544"
"38,Cal State Bakersfield,32,17,15,.531,-4.41,-2.16,7,9,9,4,6,9,2277,2265,,1295,833,1964,.424,215,651,.330,396,588,.673,464,1199,367,208,100,421,701"
"39,Cal State Fullerton,34,16,18,.471,-3.05,-0.89,10,6,9,4,4,11,2437,2414,,1385,868,1911,.454,187,589,.317,514,726,.708,277,1224,407,200,118,450,639"
"40,Cal State Northridge,34,13,21,.382,-6.32,-3.17,7,9,7,9,4,11,2601,2701,,1375,968,2104,.460,234,649,.361,431,676,.638,352,1214,512,225,154,410,641"
"41,California Baptist,31,16,15,.516,-3.64,-3.86,7,9,8,7,8,6,2403,2241,,1260,831,1860,.447,287,801,.358,454,576,.788,306,1170,345,148,85,379,623"
"42,UC-Davis,31,11,20,.355,-6.04,-1.28,7,9,7,6,3,12,2038,2128,,1260,735,1673,.439,203,619,.328,365,515,.709,218,928,375,196,71,412,596"
